iter	Passed	Remaining
0	96	76975
1	160	64137
2	231	61379
3	287	57206
4	341	54337
5	399	52895
6	449	50968
7	495	49094
8	546	48068
9	597	47215
10	648	46549
11	699	45931
12	751	45505
13	808	45395
14	866	45358
15	906	44432
16	961	44274
17	1021	44386
18	1067	43887
19	1126	43931
20	1177	43665
21	1238	43793
22	1308	44193
23	1365	44136
24	1411	43742
25	1458	43416
26	1522	43600
27	1593	43943
28	1649	43843
29	1703	43732
30	1761	43691
31	1813	43519
32	1851	43028
33	1901	42845
34	1952	42683
35	2009	42652
36	2069	42667
37	2127	42666
38	2179	42524
39	2238	42525
40	2293	42459
41	2344	42316
42	2398	42218
43	2450	42107
44	2515	42199
45	2568	42097
46	2636	42247
47	2681	42016
48	2733	41890
49	2797	41962
50	2860	42010
51	2923	42049
52	2981	42023
53	3037	41960
54	3103	42037
55	3165	42059
56	3226	42063
57	3281	41979
58	3342	41976
59	3399	41921
60	3455	41865
61	3519	41896
62	3562	41674
63	3626	41706
64	3681	41624
65	3747	41676
66	3800	41573
67	3850	41448
68	3915	41479
69	3962	41322
70	4027	41348
71	4091	41371
72	4140	41230
73	4228	41489
74	4302	41590
75	4369	41628
76	4433	41630
77	4494	41605
78	4553	41557
79	4609	41487
80	4680	41548
81	4761	41691
82	4822	41659
83	4882	41616
84	4951	41647
85	5010	41600
86	5064	41502
87	5123	41456
88	5193	41490
89	5257	41472
90	5319	41448
91	5390	41481
92	5454	41463
93	5506	41359
94	5571	41346
95	5632	41307
96	5682	41182
97	5744	41147
98	5803	41092
99	5869	41089
100	5939	41109
101	6014	41155
102	6091	41219
103	6162	41241
104	6211	41116
105	6257	40971
106	6319	40928
107	6383	40899
108	6455	40922
109	6517	40881
110	6575	40815
111	6629	40727
112	6697	40715
113	6757	40666
114	6808	40557
115	6870	40509
116	6925	40426
117	7001	40468
118	7077	40500
119	7150	40520
120	7207	40447
121	7288	40506
122	7349	40450
123	7424	40474
124	7498	40491
125	7568	40484
126	7639	40480
127	7713	40496
128	7773	40434
129	7836	40389
130	7902	40357
131	7956	40265
132	8016	40202
133	8078	40149
134	8139	40096
135	8201	40043
136	8259	39972
137	8313	39882
138	8369	39799
139	8442	39798
140	8508	39768
141	8567	39700
142	8633	39665
143	8689	39584
144	8743	39498
145	8798	39413
146	8857	39345
147	8916	39279
148	8974	39210
149	9031	39138
150	9096	39095
151	9155	39031
152	9213	38960
153	9250	38806
154	9316	38766
155	9383	38737
156	9444	38679
157	9502	38612
